name,net_worth
Zaira Alonzi,8677443.0
Nanni Ferrante-Jovinelli,1311100.0
Marcella Cutrufo,1187910.0
Dott. Raffaele Gulotta,1049116.0
Sandra Druso,870085.0
Paola Fanucci,821731.0
Dott. Virgilio Pometta,776531.0
Milena Depero,664651.0
Geronimo Bosio,642692.0
Massimiliano Milanesi,620850.0
Roman Morosini,613320.0
Tullio Prada,585986.0
Adriano Dallapé,506277.0
Eleanora Luciani,486484.0
Pierluigi Camuccini,465706.0
Priscilla Faggiani-Panicucci,433493.0
Venancio Monicelli,421246.0
Gianni Casarin,420618.0
Evangelista Vittadello,362423.0
Eliana Gucci-Ritacca,327351.0
Cecilia Bassi,325196.0
Leone Aloisio,303768.0
Gianmarco Nibali,289828.0
Isa Crispi,287345.0
Ida Andreotti,268788.0
Augusto Russo,268363.0
Osvaldo Errani,246635.0
Nanni Gadda,239577.0
Morena Cassarà-Solimena,216702.0
Annunziata Angeli,208746.0
Melina Modugno-Puglisi,208035.0
Erika Oscuro,205784.0
Valentina Casalodi-Viviani,203157.0
Bernardo Taliani,199681.0
Mario Gianetti,192295.0
Ettore Cuzzocrea,188685.0
Enzio Valmarana-Buonauro,188308.0
Valentina Adinolfi,185150.0
Adamo Tamborini,181759.0
Cipriano Iannucci,180468.0
Loredana Boezio,180434.0
Luciana Faggiani,179521.0
Fiorino Babati,173507.0
Sig. Federigo Peruzzi,172400.0
Ferdinando Travaglia,170269.0
Piergiuseppe Toselli,169163.0
Sig.ra Ilaria Casellati,168593.0
Romeo Ferraris,166737.0
Rossana Finotto-Chinnici,155675.0
Fernanda Montalcini,153752.0
Giulia Cavalcanti,152059.0
Monica Bianchi,151727.0
Pompeo Battisti-Ortolani,147057.0
Ninetta Canil,143776.0
Antonia Crespi-Pagnotto,143550.0
Dott. Giada Ruggeri,140541.0
Liana Pigafetta-Martucci,137503.0
Rosalia Iannucci,133187.0
Silvio Solari-Benussi,133070.0
Riccardo Badoglio-Galilei,132154.0
Dott. Adamo Brambilla,130725.0
Costantino Farina,129517.0
Melina Faggiani,126266.0
Maurilio Fornaciari-Mantegazza,123109.0
Sig.ra Lina Borromini,121952.0
Giuseppina Pacetti,120828.0
Piero Faugno,117611.0
Biagio Cocci,117574.0
Gianni Monte-Rapisardi,116451.0
Alberto Conte,115819.0
Uberto Bajardi,114688.0
Sig. Lucio Barzini,112860.0
